run_id,run_name,sweep_id,sweep_name,run_state,category,rl_enabled,aux_enabled,kl_enabled,topology_enabled,cpb_enabled,multi_epoch_ppo,replay_buffer_enabled,lm_reward_enabled,train_iters,use_rl_loss,rl_loss_coeff,moe_aux_loss_coeff,rl_reward_type,rl_discount_factor,rl_ppo_epochs,rl_replay_buffer_size,rl_lm_reward_coeff,rl_ppo_extra_lr,rl_reward_topn,rl_ppo_entropy_coeff,rl_algorithm,rl_ppo_baseline_type,rl_critic_hidden_dims,rl_normalize_rewards,rl_use_ema_loads,rl_critic_layer_aware,rl_ppo_clip_ratio,rl_ppo_reeval,kl_loss_coeff,moe_router_topology_aware,moe_router_topology_lambda,moe_router_critical_path_bias,moe_router_critical_path_topn,moe_router_critical_path_alpha,eval_critical_path,eval_lm_loss,eval_locality_ratio,eval_wall_time_sec,train_lm_loss,train_aux_loss,train_rl_loss,train_rl_mean_reward,train_rl_policy_loss,train_rl_value_loss,train_rl_entropy_bonus,train_rl_mean_advantage,train_grad_norm,train_num_tokens_on_critical_path,hellaswag,arc_challenge,winogrande,benchmark_avg,run_url,rl_per_token_rewards,moe_router_enable_expert_bias,moe_router_score_function,moe_router_bias_update_rate
bzbjtwq1,crit_n1_rlc0.05_g0.2_noaux_norm_PPO_ent0.01_c256_r26,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,critical_path,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,4509.18994140625,2.657469749450684,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/bzbjtwq1,False,,,
bufs7po3,ptload_n1_rlc0.05_g0.2_aux0.01_norm_PPO_ent0.01_c256_r25,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,per_token_load_weighted,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3517.47998046875,2.893949031829834,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/bufs7po3,False,,,
mucd8v5o,ptload_n1_rlc0.05_g0.2_noaux_norm_PPO_ent0.01_c256_r24,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,per_token_load_weighted,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,4177.14990234375,2.831699848175049,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/mucd8v5o,False,,,
kj23wsdv,ptbin_n1_rlc0.05_g0.2_aux0.01_norm_PPO_ent0.01_c256_r23,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,per_token_topn_binary,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3455.909912109375,3.122600078582764,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/kj23wsdv,False,,,
x4afzx3s,ptbin_n1_rlc0.05_g0.2_noaux_norm_PPO_ent0.01_c256_r22,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,per_token_topn_binary,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3957.300048828125,2.8319308757781982,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/x4afzx3s,False,,,
qd28d87f,ptbin_n6_rlc0.1_g0.95_aux0.01_norm_PPO_ent0.01_c256_r21,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.1,0.01,per_token_topn_binary,0.95,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3136.139892578125,4.725017070770264,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/qd28d87f,False,,,
rtjiz344,ptbin_n6_rlc0.1_g0.95_noaux_norm_PPO_ent0.01_c256_r20,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.1,0.0,per_token_topn_binary,0.95,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,5373.6298828125,12.109966278076172,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/rtjiz344,False,,,
vo1ylnq3,ptbin_n2_rlc0.1_g0.95_aux0.01_norm_PPO_ent0.01_c256_r19,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.1,0.01,per_token_topn_binary,0.95,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3137.31005859375,4.665943622589111,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/vo1ylnq3,False,,,
zwh79r9g,ptbin_n2_rlc0.1_g0.95_noaux_norm_PPO_ent0.01_c256_r18,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.1,0.0,per_token_topn_binary,0.95,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3467.1201171875,4.470030784606934,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/zwh79r9g,False,,,
zhkgjcq2,ptbin_n1_rlc0.1_g0.95_aux0.01_norl_norm_PPO_ent0.01_c256_r17,11oi7yzk,per-token-rl-sweep,finished,Aux,False,True,False,False,False,False,False,False,1500.0,False,0.1,0.01,per_token_topn_binary,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3569.389892578125,2.7400643825531006,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/zhkgjcq2,False,,,
